student_id;age;gender;school_type;study_hours;attendance_percentage;internet_access;travel_time;extra_activities;study_method;math_score;science_score;english_score;overall_score;final_grade
1;14;Male;Negeri;3.1;84.3;yes;<15 min;yes;notes;42.7;55.4;57.0;53.1;e
2;18;Female;Negeri;3.7;87.8;yes;>60 min;no;textbook;57.6;68.8;64.8;61.3;d
3;17;Female;Swasta;7.9;65.5;no;<15 min;no;notes;84.8;95.0;79.2;89.6;b
4;16;other;Negeri;1.1;58.1;no;15-30 min;no;notes;44.4;27.5;54.7;41.6;e
5;16;Female;Negeri;1.3;61.0;yes;30-60 min;yes;group study;8.9;32.7;30.0;25.4;f
6;19;Male;Negeri;3.8;69.6;yes;>60 min;yes;coaching;51.5;78.3;63.9;63.5;d
7;14;Female;Swasta;1.8;81.6;yes;30-60 min;no;textbook;41.9;29.4;39.2;39.1;f
8;18;Female;Swasta;5.6;59.4;yes;>60 min;yes;group study;56.7;60.1;53.4;69.6;d
9;15;other;Swasta;3.2;89.6;yes;15-30 min;yes;mixed;54.1;59.5;38.3;55.2;d
10;14;Female;Negeri;6.8;62.4;yes;>60 min;no;mixed;71.9;70.4;81.3;69.6;d
11;17;Female;Swasta;6.1;90.5;yes;15-30 min;no;notes;75.4;82.7;70.8;77.5;c
12;19;other;Negeri;4.0;96.2;yes;<15 min;yes;notes;62.0;54.7;58.0;65.0;d
13;18;Female;Swasta;6.8;58.2;yes;>60 min;no;mixed;75.1;80.5;56.2;73.6;c
14;18;other;Negeri;1.3;95.9;yes;30-60 min;yes;textbook;33.6;26.8;50.0;42.5;e
15;18;other;Negeri;4.9;85.3;yes;<15 min;no;coaching;88.1;66.1;70.3;69.3;d
16;18;other;Swasta;5.0;94.4;yes;15-30 min;yes;coaching;66.4;76.9;76.1;73.7;c
17;17;other;Swasta;2.3;67.3;yes;<15 min;yes;mixed;63.1;46.3;57.1;53.5;e
18;14;Female;Negeri;0.9;93.2;yes;15-30 min;yes;online videos;57.2;50.5;54.1;49.8;e
19;19;Male;Negeri;4.5;73.8;yes;30-60 min;yes;online videos;38.7;69.9;58.3;59.2;d
20;16;Female;Negeri;4.4;59.5;yes;<15 min;no;mixed;49.9;53.9;60.4;61.9;d
21;17;Male;Swasta;5.4;99.8;yes;>60 min;no;textbook;84.9;77.6;77.6;81.3;c
